グループ名,勢力,デビュー日,公式HP,X,Instagram,TikTok,YouTube,所属・運営,プロジェクト,レーベル,ライブ規模・実績,現役メンバー数,現役メンバー,Power,Growth,Tier,評価根拠,検証状態,情報源,最終確認日
乃木坂46,坂道シリーズ,2012-02-22,https://www.nogizaka46.com/,https://x.com/nogizaka46,https://www.instagram.com/nogizaka46_official/,https://www.tiktok.com/@nogizaka46_official,https://www.youtube.com/channel/UCUzpZpX2wRYOk3J8QTFGxDg,乃木坂46合同会社,坂道シリーズ,Sony Music Labels / N46Div.,"東京ドーム3days（14th YEAR BIRTHDAY LIVE, 2026-05-19〜21）。真夏の全国ツアー2026も開催。",33,愛宕心響 / 五百城茉央 / 池田瑛紗 / 一ノ瀬美空 / 伊藤理々杏 / 井上和 / 岩本蓮加 / 遠藤さくら / 大越ひなの / 岡本姫奈 / 小川彩 / 奥田いろは / 小津玲奈 / 海邉朱莉 / 賀喜遥香 / 金川紗耶 / 川﨑桜 / 川端晃菜 / 黒見明香 / 柴田柚菜 / 菅原咲月 / 鈴木佑捺 / 瀬戸口心月 / 田村真佑 / 筒井あやめ / 冨里奈央 / 長嶋凛桜 / 中西アルノ / 林瑠奈 / 増田三莉音 / 森平麗心 / 矢田萌華 / 弓木奈於,97,74,SSS,東京ドーム3daysを成立させる国内トップ級の動員・ブランド力、継続的な全国ツアー、Sony系IP/メディア露出を最高水準と評価。一方、Growthは超大型既存IPのため新興勢力ほどの伸び率は付けず74。,verified,https://www.nogizaka46.com/ | https://sp.nogizaka46.com/p/members | https://www.nogizaka46.com/s/n46/page/14th_birthday_live,2026-08-26
=LOVE,イコノイジョイ,2017-09-06,https://equal-love.jp/,https://x.com/Equal_LOVE_12,https://www.instagram.com/equal_love.official/,https://www.tiktok.com/@equal_love_12,https://www.youtube.com/@equallove_,代々木アニメーション学院,イコノイジョイ / 指原莉乃プロデュース,SACRA MUSIC / Sony Music Labels,MUFGスタジアム（国立競技場）2days「Beyond KYUN」（2026-06-20〜21）。スタジアム級へ到達。,10,大谷映美里 / 大場花菜 / 音嶋莉沙 / 齋藤樹愛羅 / 佐々木舞香 / 髙松瞳 / 瀧脇笙古 / 野口衣織 / 諸橋沙夏 / 山本杏奈,96,97,SSS,2026年に国立競技場2daysへ到達。楽曲の一般層浸透、ストリーミング/SNS、メディア露出、イコノイジョイ全体のIP拡張が同時進行しており、PowerとGrowthの双方が最上位。,verified,https://equal-love.jp/ | https://equal-love.jp/feature/profile | https://equal-love.jp/feature/stadium2026,2026-08-26
iLiFE!,HEROINES,2020-07-19,https://ilife-heroines.com/,https://x.com/iLiFE_official,https://www.instagram.com/ilife.idol/,https://www.tiktok.com/@ilife_official,https://www.youtube.com/channel/UChVflUz2J_jaaqYjXqvpmQA,株式会社imaginate,HEROINES,日本コロムビア,Kアリーナ横浜『MEGALiFE!』（2026-08-26）。日本武道館SOLD OUT実績、Zepp全国ツアー。現行HEROINES最上位の単独会場規模。,9,あいす / 空詩かれん / 心花りり / 福丸うさ / 若葉のあ / 虹羽みに / 小熊まむ / 純嶺みき / 真守みゅう,96,98,SSS,Kアリーナ単独・武道館即完・SNS/IPの強さと2025→26の会場拡大を最上位評価。,verified,https://ilife-heroines.com/ | https://heroines.jp/news/public/_/4psutre230zritj5.html | https://www.imaginate.jp/artist/ | https://ilife-heroines.com/profile/ | https://heroines.jp/news/public/_/2glt30y2t9f2aa94.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
櫻坂46,坂道シリーズ,2020-12-09,https://sakurazaka46.com/,https://x.com/sakurazaka46,https://www.instagram.com/sakurazaka46jp/,https://www.tiktok.com/@sakurazaka46.officialtk,https://www.youtube.com/channel/UCmr9bYmymcBmQ1p2tLBRvwg,Seed & Flower合同会社,坂道シリーズ,Sony Music Labels,MUFGスタジアム（国立競技場）2daysの5th YEAR ANNIVERSARY LIVEで計14万人規模。2026 ARENA TOURも展開。,32,浅井恋乃未 / 石森璃花 / 稲熊ひな / 遠藤光莉 / 遠藤理子 / 大園玲 / 大沼晶保 / 小田倉麗奈 / 勝又春 / 小池美波 / 幸阪茉里乃 / 小島凪紗 / 佐藤愛桜 / 谷口愛季 / 田村保乃 / 中川智尋 / 中嶋優月 / 藤吉夏鈴 / 増本綺良 / 松田里奈 / 松本和子 / 的野美青 / 向井純葉 / 村井優 / 村山美羽 / 目黒陽色 / 森田ひかる / 守屋麗奈 / 山川宇衣 / 山﨑天 / 山下瞳月 / 山田桃実,96,92,SSS,国立競技場2days・計14万人級という圧倒的ライブ規模、全国アリーナツアー、海外展開・作品の強さを高評価。既に大型IPながら2026年も会場・動員が伸びておりGrowth 92。,verified,https://sakurazaka46.com/ | https://sakurazaka46.com/s/s46/search/artist | https://sakurazaka46.com/s/s46/page/5th_anniversary,2026-08-26
ももいろクローバーZ,STARDUST,2010-05-05,https://www.momoclo.net/,https://x.com/mcz517_official,https://www.instagram.com/mcz517_official/,https://www.tiktok.com/@mcz517_official,https://www.youtube.com/@momoclo,スターダストプロモーション,STAR PLANET,EVIL LINE RECORDS / KING RECORDS,2014年国立競技場単独・ドームツアー等。2026年も横浜アリーナ2days等の大型公演を継続。,4,百田夏菜子 / 玉井詩織 / 佐々木彩夏 / 高城れに,95,55,SSS,国立・ドーム級実績、全国知名度、メディア・IP・継続性が最上位。成熟ブランドのためGrowthは低め。,verified,https://www.stardust.co.jp/talent/starplanet/momoclo/ | https://www.kingrecords.co.jp/cs/artist/artist.aspx?artist=40072 | https://www.momoclo.net/ | https://evilamag.com/news/post/12158/,2026-08-26
超ときめき♡宣伝部,STARDUST,2015-04-11,https://toki-sen.com/,https://x.com/sendenbu_staff,https://www.instagram.com/tokisen_sd/,https://www.tiktok.com/@tokisen_official,https://www.youtube.com/@TOKISEN,スターダストプロモーション 第三事業部,STAR PLANET,avex trax,2026全国ホール〜アリーナツアー。ぴあアリーナ2days、GLION ARENA KOBE、日本武道館、有明アリーナ。2024さいたまスーパーアリーナ全席完売。,5,辻野かなみ / 小泉遥香 / 坂井仁香 / 吉川ひより / 菅田愛貴,95,92,SSS,アリーナ・武道館・有明への拡大と『超最強』TikTok25億再生の一般層浸透を最上位評価。,verified,https://www.stardust.co.jp/talent/section3/sendenbu/ | https://toki-sen.com/ | https://avexnet.jp/,2026-08-26
≠ME,イコノイジョイ,2021-04-07,https://not-equal-me.jp/,https://x.com/Notequal_ME,https://www.instagram.com/notequal_me.official/,https://www.tiktok.com/@notequal_me,https://www.youtube.com/channel/UCBmvHfXdGCvi_b6lFeU-E1Q,代々木アニメーション学院,イコノイジョイ / 指原莉乃プロデュース,KING RECORDS,Kアリーナ横浜7周年公演（2026-02-23）＋初のアリーナツアー、横浜アリーナ3公演など。,11,尾木波菜 / 落合希来里 / 蟹沢萌子 / 河口夏音 / 川中子奈月心 / 櫻井もも / 鈴木瞳美 / 谷崎早耶 / 冨田菜々風 / 永田詩央里 / 本田珠由記,91,93,SS,Kアリーナから横浜アリーナ複数公演を含むアリーナツアーへ拡大。楽曲・SNS・メディアの伸長も強く、Powerは既にSS、Growthは93と評価。,verified,https://not-equal-me.jp/ | https://not-equal-me.jp/feature/profile | https://not-equal-me.jp/feature/7th_anniversary,2026-08-26
日向坂46,坂道シリーズ,2019-03-27,https://www.hinatazaka46.com/,https://x.com/hinatazaka46,https://www.instagram.com/hinatazaka46/,https://www.tiktok.com/@hinatazakanews,https://www.youtube.com/channel/UCR0V48DJyWbwEAdxLL5FjxA,Seed & Flower合同会社,坂道シリーズ,Sony Music Labels,横浜スタジアム2days「7回目のひな誕祭」（2026-04-04〜05）。2026年はアリーナツアーも展開。,27,石塚瑶季 / 大田美月 / 大野愛実 / 片山紗希 / 金村美玖 / 上村ひなの / 蔵盛妃那乃 / 小坂菜緒 / 小西夏菜実 / 坂井新奈 / 佐藤優羽 / 清水理央 / 下田衣珠季 / 正源司陽子 / 高井俐香 / 髙橋未来虹 / 竹内希来里 / 鶴崎仁香 / 平尾帆夏 / 平岡海月 / 藤嶌果歩 / 松尾桜 / 宮地すみれ / 森本茉莉 / 山口陽世 / 山下葉留花 / 渡辺莉奈,91,78,SS,横浜スタジアム2daysを維持する大規模動員、全国アリーナツアー、坂道ブランドのIP力を高評価。世代交代期でも大型会場を維持しておりGrowth 78。,verified,https://www.hinatazaka46.com/ | https://www.hinatazaka46.com/s/official/search/artist | https://www.hinatazaka46.com/s/official/page/7th-anniversary,2026-08-26
のんふぃく！,HEROINES,2021-05-05,https://heroines.jp/,https://x.com/Nonfic_official,https://www.instagram.com/nonfic_official/,https://www.tiktok.com/@nonfic_official,https://www.youtube.com/channel/UCHFSjSxJMTVqYnJU724pwGw,株式会社imaginate,HEROINES,未確認（複数経路確認）,幕張メッセ イベントホール『5th Anniversary LIVE』（2026-05-05）。HEROINES LEAGUE I上位常連。,9,恋星はるか / 水瀬ぴあの / 永月十華 / 海まりん / こるね / 香月あむ / 澪織にいな / 小枝ここあ / 砂糖みるく,89,92,S,幕張イベントホール単独と全国ツアーを成立。HEROINES上位として動員・成長とも強い。,verified,https://heroines.jp/news/public/_/atde4dubpjyubfee.html | https://heroines.jp/news/public/_/c5v33hjpiyc7ugox.html | https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html | https://heroines.jp/news/public/_/fzn3zg2mkjgjx5tn.html,2026-08-26
私立恵比寿中学,STARDUST,2012-05-05,https://www.shiritsuebichu.jp/,https://x.com/ebichu_staff,https://www.instagram.com/shiritsuebisuchugaku/,https://www.tiktok.com/@ebichu_official,https://www.youtube.com/@ebichuSMEJ,スターダストプロモーション,STAR PLANET,SME Records / Sony Music Labels,長期にわたりアリーナ・ホール級を展開。2026年春ツアーも全国ホール規模。,8,真山りか / 安本彩花 / 中山莉子 / 桜木心菜 / 小久保柚乃 / 風見和香 / 桜井えま / 仲村悠菜,89,66,S,長期継続、全国ホール/アリーナ実績、SonyとスタダIPを評価。,verified,https://www.shiritsuebichu.jp/ | https://www.stardust.co.jp/talent/ | https://www.sonymusic.co.jp/artist/ebichu/ | https://www.stardust.co.jp/talent/starplanet/ebichu/,2026-08-26
