グループ名,勢力,URL,最終確認日
乃木坂46,坂道シリーズ,https://www.nogizaka46.com/,2026-08-26
乃木坂46,坂道シリーズ,https://sp.nogizaka46.com/p/members,2026-08-26
乃木坂46,坂道シリーズ,https://www.nogizaka46.com/s/n46/page/14th_birthday_live,2026-08-26
=LOVE,イコノイジョイ,https://equal-love.jp/,2026-08-26
=LOVE,イコノイジョイ,https://equal-love.jp/feature/profile,2026-08-26
=LOVE,イコノイジョイ,https://equal-love.jp/feature/stadium2026,2026-08-26
iLiFE!,HEROINES,https://ilife-heroines.com/,2026-08-26
iLiFE!,HEROINES,https://heroines.jp/news/public/_/4psutre230zritj5.html,2026-08-26
iLiFE!,HEROINES,https://www.imaginate.jp/artist/,2026-08-26
iLiFE!,HEROINES,https://ilife-heroines.com/profile/,2026-08-26
iLiFE!,HEROINES,https://heroines.jp/news/public/_/2glt30y2t9f2aa94.html,2026-08-26
iLiFE!,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
櫻坂46,坂道シリーズ,https://sakurazaka46.com/,2026-08-26
櫻坂46,坂道シリーズ,https://sakurazaka46.com/s/s46/search/artist,2026-08-26
櫻坂46,坂道シリーズ,https://sakurazaka46.com/s/s46/page/5th_anniversary,2026-08-26
ももいろクローバーZ,STARDUST,https://www.stardust.co.jp/talent/starplanet/momoclo/,2026-08-26
ももいろクローバーZ,STARDUST,https://www.kingrecords.co.jp/cs/artist/artist.aspx?artist=40072,2026-08-26
ももいろクローバーZ,STARDUST,https://www.momoclo.net/,2026-08-26
ももいろクローバーZ,STARDUST,https://evilamag.com/news/post/12158/,2026-08-26
超ときめき♡宣伝部,STARDUST,https://www.stardust.co.jp/talent/section3/sendenbu/,2026-08-26
超ときめき♡宣伝部,STARDUST,https://toki-sen.com/,2026-08-26
超ときめき♡宣伝部,STARDUST,https://avexnet.jp/,2026-08-26
≠ME,イコノイジョイ,https://not-equal-me.jp/,2026-08-26
≠ME,イコノイジョイ,https://not-equal-me.jp/feature/profile,2026-08-26
≠ME,イコノイジョイ,https://not-equal-me.jp/feature/7th_anniversary,2026-08-26
日向坂46,坂道シリーズ,https://www.hinatazaka46.com/,2026-08-26
日向坂46,坂道シリーズ,https://www.hinatazaka46.com/s/official/search/artist,2026-08-26
日向坂46,坂道シリーズ,https://www.hinatazaka46.com/s/official/page/7th-anniversary,2026-08-26
のんふぃく！,HEROINES,https://heroines.jp/news/public/_/atde4dubpjyubfee.html,2026-08-26
のんふぃく！,HEROINES,https://heroines.jp/news/public/_/c5v33hjpiyc7ugox.html,2026-08-26
のんふぃく！,HEROINES,https://heroines.jp/news/public/_/7hqu4xr32jbrr5k4.html,2026-08-26
のんふぃく！,HEROINES,https://heroines.jp/news/public/_/fzn3zg2mkjgjx5tn.html,2026-08-26
私立恵比寿中学,STARDUST,https://www.shiritsuebichu.jp/,2026-08-26
私立恵比寿中学,STARDUST,https://www.stardust.co.jp/talent/,2026-08-26
私立恵比寿中学,STARDUST,https://www.sonymusic.co.jp/artist/ebichu/,2026-08-26
私立恵比寿中学,STARDUST,https://www.stardust.co.jp/talent/starplanet/ebichu/,2026-08-26
≒JOY,イコノイジョイ,https://nearly-equal-joy.jp/,2026-08-26
≒JOY,イコノイジョイ,https://nearly-equal-joy.jp/feature/profile,2026-08-26
≒JOY,イコノイジョイ,https://nearly-equal-joy.jp/feature/2026_budokan,2026-08-26
いぎなり東北産,STARDUST,https://madeintohoku.com/,2026-08-26
いぎなり東北産,STARDUST,https://www.stardust.co.jp/talent/,2026-08-26
